Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Actual_Yield,Predicted_Yield,Prediction_Error,Error_Pct,Rainfall_Zone,Era,Fertilizer_per_Area,StateCrop_AvgYield
Arecanut,2000,Whole Year,Andhra Pradesh,262.0,724,935.6,25720.54,68.12,2.7799999999999994,3.281536,-0.5015361022949225,18.040860499507826,Low,1997-2004,98.16999962530537,1.037272727
Arecanut,2001,Whole Year,Andhra Pradesh,268.0,449,928.4,27370.84,69.68,1.71,1.865444,-0.1554439449310303,9.090283861297761,Low,1997-2004,102.1299996189179,2.78
Arecanut,2002,Whole Year,Andhra Pradesh,296.0,427,648.1,28022.32,74.0,1.4525000000000001,1.5217452,-0.06924520492553699,4.767308588809025,Low,1997-2004,94.66999968016891,2.245
Arecanut,2003,Whole Year,Andhra Pradesh,311.0,221,826.0,30782.78,74.64,0.704,0.8713051,-0.16730510807037358,23.764896366677544,Low,1997-2004,98.97999968173632,1.9808333333333328
Arecanut,2005,Whole Year,Andhra Pradesh,293.0,234,1075.5,35136.56,61.53,0.8025,0.8745518,-0.07205177307128907,8.978402901839258,Moderate,2005-2012,119.91999959071671,1.661625
Arecanut,2006,Whole Year,Andhra Pradesh,255.0,176,845.2,32566.05,56.1,0.685,0.8768879,-0.19188791751861567,28.012793779661,Low,2005-2012,127.70999949917648,1.4898
Arecanut,2008,Whole Year,Andhra Pradesh,359.0,265,944.6,51351.36,32.31,0.915,0.9670285,-0.05202849864959713,5.68616850141116,Low,2005-2012,143.03999960155988,1.3556666666666668
Arecanut,2009,Whole Year,Andhra Pradesh,386.0,198,711.0,60146.52,65.62,0.855,0.7748523,0.08014772415161131,9.37399186101669,Low,2005-2012,155.81999959632122,1.2927142857142857
Arecanut,2010,Whole Year,Andhra Pradesh,438.0,195,1297.0,72756.18,105.12,0.443333333,0.4858969,-0.04256355239505005,9.600779643441253,Moderate,2005-2012,166.1099996207534,1.238
Arecanut,2011,Whole Year,Andhra Pradesh,562.0,275,861.9,94146.24,185.46,0.29666666699999994,0.51372993,-0.2170632629240113,73.16714528382069,Low,2005-2012,167.5199997019217,1.1497037036666666
Arecanut,2012,Kharif,Andhra Pradesh,581.0,365,968.7,87614.8,180.11,1.4533333330000002,1.2713737,0.18195958422070335,12.520146265663382,Low,2005-2012,150.7999997404475,1.0644
Arecanut,2013,Kharif,Andhra Pradesh,476.0,255,1062.3,68777.24,128.52,1.705,1.2206192,0.4843807983398438,28.40941432526103,Moderate,2013-2020,144.4899996964496,1.0997575757272726
Arecanut,2014,Kharif,Andhra Pradesh,483.0,338,687.6,72913.68,159.39,1.7750000000000008,1.2732475,0.5017525196075447,28.26773165804101,Low,2013-2020,150.9599996874534,1.1501944444166667
Arecanut,2015,Kharif,Andhra Pradesh,516.0,1795,940.7,81481.56,170.28,3.3200000000000003,3.498662,-0.17866199493408175,5.381383768682049,Low,2013-2020,157.90999969397288,1.1982564102307691
Arecanut,2016,Kharif,Andhra Pradesh,564.0,2367,890.0,86433.0,197.4,3.9124999999999996,3.9931731,-0.08067312240600621,2.0619323140366284,Low,2013-2020,153.24999972828013,1.3498095237857142
Arecanut,2017,Kharif,Andhra Pradesh,697.0,4369,868.2,109735.68,264.86,5.582500000000001,6.4869957,-0.904495697021483,16.202338289262876,Low,2013-2020,157.43999977411764,1.5206555555333334
Arecanut,2018,Kharif,Andhra Pradesh,976.0,5317,1220.5,158307.2,341.6,4.153333333000001,4.2886252,-0.13529190732592689,3.257428766352262,Moderate,2013-2020,162.1999998338115,1.7745208333125
Arecanut,2019,Kharif,Andhra Pradesh,1096.0,10418,899.2,188248.96,405.52,7.2533333330000005,8.889232,-1.63589834882373,22.55374250957928,Low,2013-2020,171.75999984328465,1.9144509803529413
